drug,targets,S1,S2,S3,S4,S5,S6,S7,S8
D00411,hsa10800,2,0.237143,0.214286,0.26,3,0.208572712069273,0.112191677662044,0.329720966576049
D05129,hsa10800,2,0.327731,0.214286,0.441176,3,0.14031938840119,0.0327022314666408,0.329720966576049
D00234,hsa11255,4,0.2776785,0.125,0.375,2,0.24689915835105,0.174373902860352,0.319424413841747
D00300,hsa11255,4,0.378385,0.147059,0.56,2,0.24689915835105,0.174373902860352,0.319424413841747
D00318,hsa11255,4,0.13051475,0.111111,0.147059,2,0.219873002225915,0.120321590610083,0.319424413841747
D00494,hsa11255,4,0.368836,0.111111,0.56,10,0.194075669745985,0.110893886764345,0.319424413841747
D02566,hsa11255,4,0.37847225,0.138889,0.518519,3,0.208022251710738,0.130268438430115,0.319424413841747
D00113,hsa1128,26,0.323761692307692,0.125,0.72,4,0.442692825800025,0.422775642481663,0.470677026332781
D00232,hsa1128,26,0.217221615384615,0.105263,0.535714,2,0.438201150892996,0.422775642481663,0.45362665930433
D00274,hsa1128,26,0.307264538461538,0.162162,0.444444,2,0.278064400730098,0.133353158978532,0.422775642481663
D00283,hsa1128,26,0.341699923076923,0.0625,0.612903,24,0.16711075165064,0.112766499278291,0.422775642481663
D00397,hsa1128,26,0.299567730769231,0.066667,0.451613,2,0.423233808781495,0.422775642481663,0.423691975081326
D00454,hsa1128,26,0.311172307692308,0.064516,0.607143,21,0.207200245313915,0.112766499278291,0.470677026332781
D00465,hsa1128,26,0.314839961538462,0.18,0.515152,1,0.422775642481663,0.422775642481663,0.422775642481663
D00494,hsa1128,26,0.340793769230769,0.108108,0.76,10,0.280591179164309,0.112766499278291,0.470677026332781
D00524,hsa1128,26,0.142964076923077,0.033333,0.333333,2,0.238540800387238,0.0543059582928129,0.422775642481663
D00540,hsa1128,26,0.321369692307692,0.14,0.642857,1,0.422775642481663,0.422775642481663,0.422775642481663
D00646,hsa1128,26,0.320344153846154,0.147059,0.5,1,0.422775642481663,0.422775642481663,0.422775642481663
D00726,hsa1128,26,0.224767923076923,0.111111,0.444444,14,0.150733296718228,0.0543059582928129,0.213668662008649
D00779,hsa1128,26,0.275161692307692,0.0625,0.483871,1,0.422775642481663,0.422775642481663,0.422775642481663
D01871,hsa1128,26,0.362076461538462,0.09375,0.566667,4,0.442692825800025,0.422775642481663,0.470677026332781
D02070,hsa1128,26,0.335388192307692,0.145833,0.72,4,0.442692825800025,0.422775642481663,0.470677026332781
D02327,hsa1128,26,0.281614346153846,0.131579,0.454545,1,0.203440198188876,0.203440198188876,0.203440198188876
D02354,hsa1128,26,0.378199307692308,0.117647,0.612903,10,0.269985823935245,0.112766499278291,0.470677026332781
D02356,hsa1128,26,0.237355884615385,0.125,0.425,6,0.199342749565857,0.126339881978936,0.422775642481663
D02361,hsa1128,26,0.325789615384615,0.129032,0.76,13,0.238325782014774,0.112766499278291,0.470677026332781
D03621,hsa1128,26,0.362117307692308,0.033333,0.653846,3,0.359947499991623,0.203440198188876,0.45362665930433
D03858,hsa1128,26,0.357593269230769,0.0625,0.653846,2,0.438201150892996,0.422775642481663,0.45362665930433
D00113,hsa1129,20,0.3102735,0.125,0.72,4,0.43831747913811,0.385521853019105,0.558752782213286
D00232,hsa1129,20,0.21290525,0.105263,0.535714,2,0.404148747750384,0.385521853019105,0.422775642481663
D00274,hsa1129,20,0.29354325,0.145161,0.439024,2,0.272363243646254,0.121950844810844,0.422775642481663
D00283,hsa1129,20,0.33681215,0.0625,0.612903,24,0.157214658295365,0.0990571864062886,0.422775642481663
D00397,hsa1129,20,0.2734251,0.052632,0.451613,2,0.490764212347474,0.422775642481663,0.558752782213286
D00454,hsa1129,20,0.3080864,0.064516,0.607143,21,0.195797908466386,0.0990571864062886,0.558752782213286
D00465,hsa1129,20,0.30706765,0.159091,0.515152,1,0.422775642481663,0.422775642481663,0.422775642481663
D00494,hsa1129,20,0.31811445,0.072727,0.76,10,0.275227210554705,0.114146558756297,0.558752782213286
D00524,hsa1129,20,0.1358494,0.033333,0.333333,2,0.235235133365939,0.0476946242502159,0.422775642481663
D00540,hsa1129,20,0.3140706,0.14,0.642857,1,0.422775642481663,0.422775642481663,0.422775642481663
D00646,hsa1129,20,0.30836025,0.086207,0.5,1,0.422775642481663,0.422775642481663,0.422775642481663
D00779,hsa1129,20,0.2745435,0.0625,0.483871,1,0.422775642481663,0.422775642481663,0.422775642481663
D01871,hsa1129,20,0.34125935,0.09375,0.566667,4,0.43831747913811,0.385521853019105,0.558752782213286
D02070,hsa1129,20,0.32280985,0.145833,0.72,4,0.43831747913811,0.385521853019105,0.558752782213286
D02354,hsa1129,20,0.3728858,0.117647,0.612903,10,0.265014574645314,0.112025674486825,0.558752782213286
D02356,hsa1129,20,0.2350889,0.058824,0.425,6,0.188595831847009,0.114093247508238,0.422775642481663
D02361,hsa1129,20,0.3090347,0.086207,0.76,13,0.233376844394282,0.112025674486825,0.558752782213286
D03621,hsa1129,20,0.3511658,0.033333,0.653846,3,0.339673626155532,0.210723382965829,0.422775642481663
D03858,hsa1129,20,0.3470239,0.0625,0.653846,2,0.404148747750384,0.385521853019105,0.422775642481663
D00113,hsa1131,11,0.328284454545455,0.184211,0.72,4,0.423098443867776,0.383972611127378,0.469272652020292
D00232,hsa1131,11,0.211322727272727,0.108108,0.535714,2,0.419574256161718,0.385521853019105,0.45362665930433
D00454,hsa1131,11,0.347137363636364,0.131579,0.53125,21,0.180690666138184,0.101648334153595,0.469272652020292
D00494,hsa1131,11,0.37005,0.108108,0.76,10,0.257452568494911,0.109950886831578,0.469272652020292
D01871,hsa1131,11,0.399059363636364,0.153846,0.545455,4,0.423098443867776,0.383972611127378,0.469272652020292
D02070,hsa1131,11,0.334132,0.179487,0.72,4,0.423098443867776,0.383972611127378,0.469272652020292
D02354,hsa1131,11,0.420442454545455,0.2,0.545455,10,0.247450357764357,0.105977733659102,0.469272652020292
D02361,hsa1131,11,0.347547363636364,0.153846,0.76,13,0.217670179529325,0.105977733659102,0.469272652020292
D03621,hsa1131,11,0.426035545454545,0.138889,0.653846,3,0.341466875276046,0.185252113504702,0.45362665930433
D03858,hsa1131,11,0.411640545454545,0.128205,0.653846,2,0.419574256161718,0.385521853019105,0.45362665930433
D00113,hsa1132,7,0.319453,0.184211,0.72,4,0.443541555402661,0.383972611127378,0.558752782213286
D00397,hsa1132,7,0.326097428571429,0.228571,0.413793,2,0.491222378647306,0.423691975081326,0.558752782213286
D00454,hsa1132,7,0.351629285714286,0.264706,0.53125,21,0.19929653867343,0.0984320642289962,0.558752782213286
D00494,hsa1132,7,0.423983428571429,0.2,0.76,10,0.277414903319166,0.117490217663285,0.558752782213286
D01871,hsa1132,7,0.40507,0.285714,0.545455,4,0.443541555402661,0.383972611127378,0.558752782213286
D02070,hsa1132,7,0.313267428571429,0.179487,0.72,4,0.443541555402661,0.383972611127378,0.558752782213286
