drug,targets,S1,S2,S3,S4,S5,S6,S7,S8
D00294,hsa10008,1,0.175,0.175,0.175,79,0.0337587196571311,0.0172497950887749,0.189158461721633
D02356,hsa10008,1,0.175,0.175,0.175,120,0.0299571270010485,0.0107312248131602,0.189158461721633
D00332,hsa10369,8,0.05317125,0,0.15,45,0.0332736709805325,0.00658588083863935,0.593987559174748
D00437,hsa10369,8,0.2720555,0,0.827586,29,0.0421629587070156,0.00658588083863935,0.593987559174748
D00512,hsa10369,8,0.171039125,0,0.342857,44,0.0337335455689514,0.00658588083863935,0.593987559174748
D00542,hsa10369,8,0.023800375,0,0.078947,33,0.0402233569689175,0.00716606021535285,0.593987559174748
D00560,hsa10369,8,0.2067575,0.078947,0.55,29,0.0421629587070156,0.00658588083863935,0.593987559174748
D00618,hsa10369,8,0.28596525,0.025641,0.827586,29,0.0421629587070156,0.00658588083863935,0.593987559174748
D00629,hsa10369,8,0.265988125,0,0.758621,29,0.0421629587070156,0.00658588083863935,0.593987559174748
D01295,hsa10369,8,0.19842125,0.029412,0.55,29,0.0421629587070156,0.00658588083863935,0.593987559174748
D02356,hsa10369,8,0.159806625,0.046512,0.240741,120,0.0253327139075951,0.00658588083863935,0.593987559174748
D00227,hsa1080,4,0.3399205,0.166667,0.411765,4,0.00593096513319657,0.00413885664907427,0.0109285885654754
D00336,hsa1080,4,0.14382875,0.108696,0.183673,2,0.0801171880188759,0.0144445213380308,0.145789854699721
D01453,hsa1080,4,0.46484275,0.116279,0.736842,4,0.00593096513319657,0.00413885664907427,0.0109285885654754
D01712,hsa1080,4,0.462474,0.108696,0.736842,4,0.00593096513319657,0.00413885664907427,0.0109285885654754
D02409,hsa1080,4,0.4378165,0.183673,0.6,4,0.00593096513319657,0.00413885664907427,0.0109285885654754
D00195,hsa1134,10,0.2736862,0.054054,0.607143,8,0.38672210703014,0.320171546069095,0.460225387617206
D00611,hsa1134,10,0.1643241,0.093023,0.25,8,0.38672210703014,0.320171546069095,0.460225387617206
D00726,hsa1134,10,0.1526459,0.08,0.2,14,0.323597771503422,0.149480642740534,0.460225387617206
D02101,hsa1134,10,0.26454,0.057971,0.734375,8,0.38672210703014,0.320171546069095,0.460225387617206
D02173,hsa1134,10,0.2647716,0.085714,0.607143,8,0.38672210703014,0.320171546069095,0.460225387617206
D02204,hsa1134,10,0.0940343,0.020408,0.208333,8,0.38672210703014,0.320171546069095,0.460225387617206
D02207,hsa1134,10,0.2319286,0.114754,0.394737,16,0.228584978847644,0.0177193868836736,0.460225387617206
D03580,hsa1134,10,0.2874182,0.060606,0.734375,8,0.38672210703014,0.320171546069095,0.460225387617206
D03826,hsa1134,10,0.2081918,0.109091,0.375,8,0.38672210703014,0.320171546069095,0.460225387617206
D05156,hsa1134,10,0.1338296,0.020408,0.204545,9,0.34546118973017,0.015373851330409,0.460225387617206
D05453,hsa1134,10,0.1749102,0.029412,0.28125,9,0.345272945980673,0.0136796575849371,0.460225387617206
D00195,hsa1135,19,0.249804,0.054054,0.607143,8,0.421094455477729,0.3030311707333,0.528466917437737
D00499,hsa1135,19,0.0793158421052631,0.029412,0.173913,22,0.185568599004869,0.0640291046687094,0.528466917437737
D00524,hsa1135,19,0.112199421052632,0.022727,0.35,7,0.414489149562017,0.295284205404371,0.528466917437737
D00611,hsa1135,19,0.160257473684211,0.06383,0.25,8,0.421094455477729,0.3030311707333,0.528466917437737
D00726,hsa1135,19,0.158886315789474,0.08,0.291667,14,0.348102703306625,0.166349293776961,0.528466917437737
D02101,hsa1135,19,0.220776789473684,0.046154,0.734375,8,0.421094455477729,0.3030311707333,0.528466917437737
D02173,hsa1135,19,0.248217631578947,0.085714,0.607143,8,0.421094455477729,0.3030311707333,0.528466917437737
D02204,hsa1135,19,0.110798315789474,0.020408,0.35,8,0.421094455477729,0.3030311707333,0.528466917437737
D02207,hsa1135,19,0.246385526315789,0.046154,0.758621,16,0.240646850680334,0.0169700416119753,0.528466917437737
D03365,hsa1135,19,0.179326631578947,0.037037,0.409091,7,0.369185924494859,0.211344341967631,0.524240883312341
D03580,hsa1135,19,0.240553789473684,0.048387,0.734375,8,0.421094455477729,0.3030311707333,0.528466917437737
D03742,hsa1135,19,0.258942421052632,0.058824,0.535714,2,0.0147135645448823,0.0127567040951244,0.0166704249946402
D03826,hsa1135,19,0.213522736842105,0.070175,0.375,8,0.421094455477729,0.3030311707333,0.528466917437737
D05156,hsa1135,19,0.130481736842105,0.020408,0.352941,9,0.376342820743873,0.0183297428730317,0.528466917437737
D05453,hsa1135,19,0.199026947368421,0.029412,0.5,9,0.37557855237552,0.0114513275578539,0.528466917437737
D00195,hsa1136,13,0.240976538461538,0.054054,0.607143,8,0.438930132203048,0.3263589464668,0.647460918700083
D00499,hsa1136,13,0.0884714615384615,0.029412,0.173913,22,0.192659774436421,0.0601991549544741,0.647460918700083
D00524,hsa1136,13,0.120237153846154,0.022727,0.35,7,0.431647963578763,0.312213762857871,0.647460918700083
D00611,hsa1136,13,0.168747461538462,0.093023,0.25,8,0.438930132203048,0.3263589464668,0.647460918700083
D00726,hsa1136,13,0.163251769230769,0.08,0.291667,14,0.362889838898014,0.166519210692346,0.647460918700083
D02101,hsa1136,13,0.221590230769231,0.046154,0.734375,8,0.438930132203048,0.3263589464668,0.647460918700083
D02173,hsa1136,13,0.237899153846154,0.085714,0.607143,8,0.438930132203048,0.3263589464668,0.647460918700083
D02204,hsa1136,13,0.113095153846154,0.020408,0.35,8,0.438930132203048,0.3263589464668,0.647460918700083
D02207,hsa1136,13,0.199759461538462,0.046154,0.394737,16,0.24995827223718,0.0191218619099207,0.647460918700083
D03365,hsa1136,13,0.178471769230769,0.037037,0.409091,7,0.399672080670752,0.218509376294825,0.647460918700083
D03580,hsa1136,13,0.240085076923077,0.048387,0.734375,8,0.438930132203048,0.3263589464668,0.647460918700083
D03826,hsa1136,13,0.187335230769231,0.070175,0.375,8,0.438930132203048,0.3263589464668,0.647460918700083
D05156,hsa1136,13,0.135048538461538,0.020408,0.352941,9,0.391670473457009,0.0135932034886977,0.647460918700083
D05453,hsa1136,13,0.170929846153846,0.029412,0.409091,9,0.3918527147252,0.0152333749024097,0.647460918700083
D00195,hsa1137,12,0.240224583333333,0.054054,0.607143,8,0.370529269133377,0.26578190714186,0.528466917437737
D00499,hsa1137,12,0.0927576666666667,0.029412,0.173913,22,0.166437927763071,0.0603816358628795,0.528466917437737
D00524,hsa1137,12,0.126469,0.022727,0.35,7,0.364424890957564,0.250631863439903,0.528466917437737
D00611,hsa1137,12,0.16693675,0.093023,0.25,8,0.370529269133377,0.26578190714186,0.528466917437737
D00726,hsa1137,12,0.164951333333333,0.08,0.291667,14,0.304313547064617,0.153524949647877,0.528466917437737
D02101,hsa1137,12,0.229127083333333,0.046154,0.734375,8,0.370529269133377,0.26578190714186,0.528466917437737
D02173,hsa1137,12,0.236119166666667,0.085714,0.607143,8,0.370529269133377,0.26578190714186,0.528466917437737
D02204,hsa1137,12,0.119433333333333,0.020408,0.35,8,0.370529269133377,0.26578190714186,0.528466917437737
D02207,hsa1137,12,0.20276975,0.046154,0.394737,16,0.21605294042414,0.0183821716550526,0.528466917437737
D03580,hsa1137,12,0.248597916666667,0.048387,0.734375,8,0.370529269133377,0.26578190714186,0.528466917437737
D03826,hsa1137,12,0.189341083333333,0.070175,0.375,8,0.370529269133377,0.26578190714186,0.528466917437737
D05156,hsa1137,12,0.116890833333333,0.020408,0.204545,9,0.331488949615738,0.0191663934746292,0.528466917437737
D05453,hsa1137,12,0.151083083333333,0.029412,0.28125,9,0.330962891392736,0.0144318694676053,0.528466917437737
D00195,hsa1138,9,0.282490888888889,0.054054,0.607143,8,0.376435176824841,0.289891670668723,0.443228700567185
D00611,hsa1138,9,0.162741111111111,0.093023,0.25,8,0.376435176824841,0.289891670668723,0.443228700567185
D02101,hsa1138,9,0.281050888888889,0.057971,0.734375,8,0.376435176824841,0.289891670668723,0.443228700567185
D02173,hsa1138,9,0.271968444444444,0.085714,0.607143,8,0.376435176824841,0.289891670668723,0.443228700567185
D02204,hsa1138,9,0.0822603333333333,0.020408,0.208333,8,0.376435176824841,0.289891670668723,0.443228700567185
D02207,hsa1138,9,0.239777333333333,0.114754,0.394737,16,0.219670261847061,0.0145977736060565,0.443228700567185
D03580,hsa1138,9,0.305885555555556,0.060606,0.734375,8,0.376435176824841,0.289891670668723,0.443228700567185
D03826,hsa1138,9,0.213467111111111,0.109091,0.375,8,0.376435176824841,0.289891670668723,0.443228700567185
D05156,hsa1138,9,0.139810666666667,0.020408,0.204545,9,0.336207305180269,0.0143843320236922,0.443228700567185
D05453,hsa1138,9,0.181646222222222,0.029412,0.28125,9,0.335882460855797,0.0114607331034445,0.443228700567185
D00195,hsa1139,10,0.2736862,0.054054,0.607143,8,0.324874962400602,0.287846205982943,0.35557785353119
D00611,hsa1139,10,0.1643241,0.093023,0.25,8,0.324874962400602,0.287846205982943,0.35557785353119
D00726,hsa1139,10,0.1526459,0.08,0.2,14,0.282711897517932,0.169753978985246,0.35557785353119
D02101,hsa1139,10,0.26454,0.057971,0.734375,8,0.324874962400602,0.287846205982943,0.35557785353119
D02173,hsa1139,10,0.2647716,0.085714,0.607143,8,0.324874962400602,0.287846205982943,0.35557785353119
D02204,hsa1139,10,0.0940343,0.020408,0.208333,8,0.324874962400602,0.287846205982943,0.35557785353119
D02207,hsa1139,10,0.2319286,0.114754,0.394737,16,0.188429554827367,0.0131741525523917,0.35557785353119
D03580,hsa1139,10,0.2874182,0.060606,0.734375,8,0.324874962400602,0.287846205982943,0.35557785353119
D03826,hsa1139,10,0.2081918,0.109091,0.375,8,0.324874962400602,0.287846205982943,0.35557785353119
D05156,hsa1139,10,0.1338296,0.020408,0.204545,9,0.290663426771733,0.016971141740776,0.35557785353119
D05453,hsa1139,10,0.1749102,0.029412,0.28125,9,0.290056622161424,0.0115099002480006,0.35557785353119
D00499,hsa1141,7,0.146344857142857,0.027027,0.32,22,0.174855860085662,0.0688449949420278,0.447837311215062
D00524,hsa1141,7,0.112915,0,0.291667,7,0.372870342937426,0.285751355965229,0.447837311215062
D00726,hsa1141,7,0.174243428571429,0.05,0.291667,14,0.332170818838474,0.169523994811495,0.447837311215062
D03365,hsa1141,7,0.140373,0.037037,0.318182,7,0.351873791778314,0.228221889159396,0.447837311215062
D00499,hsa1145,3,0.12408,0.037037,0.173913,22,0.133038400501329,0.0540898020687888,0.318495173040991
