drug,targets,S1,S2,S3,S4,S5,S6,S7,S8
D00066,hsa2099,15,0.3275932,0.031746,0.62069,1,0.129516860347121,0.129516860347121,0.129516860347121
D00105,hsa2099,15,0.4194964,0.127273,0.826087,1,0.385291520838268,0.385291520838268,0.385291520838268
D00327,hsa2099,15,0.324963,0.064516,0.62069,1,0.119238019840392,0.119238019840392,0.119238019840392
D00577,hsa2099,15,0.2096126,0.043478,0.818182,4,0.285034119628014,0.241851027557274,0.385291520838268
D00950,hsa2099,15,0.3879276,0.048387,1,1,0.129516860347121,0.129516860347121,0.129516860347121
D00954,hsa2099,15,0.3879276,0.048387,1,1,0.129516860347121,0.129516860347121,0.129516860347121
D01161,hsa2099,15,0.264267466666667,0.150943,0.458333,1,0.385291520838268,0.385291520838268,0.385291520838268
D01294,hsa2099,15,0.304199066666667,0.029412,0.59375,1,0.129516860347121,0.129516860347121,0.129516860347121
D02217,hsa2099,15,0.209271066666667,0.067797,0.341463,1,0.385291520838268,0.385291520838268,0.385291520838268
D02367,hsa2099,15,0.332319866666667,0.048387,0.769231,1,0.129516860347121,0.129516860347121,0.129516860347121
D04066,hsa2099,15,0.342723733333333,0.166667,0.633333,1,0.385291520838268,0.385291520838268,0.385291520838268
D00105,hsa2100,4,0.403696,0.25,0.633333,1,0.385291520838268,0.385291520838268,0.385291520838268
D00577,hsa2100,4,0.2399155,0.173077,0.341463,4,0.272891789750138,0.226572973058899,0.385291520838268
D01161,hsa2100,4,0.33242325,0.173077,0.458333,1,0.385291520838268,0.385291520838268,0.385291520838268
D02217,hsa2100,4,0.28033425,0.245902,0.341463,1,0.385291520838268,0.385291520838268,0.385291520838268
D04066,hsa2100,4,0.3854225,0.195122,0.633333,1,0.385291520838268,0.385291520838268,0.385291520838268
D00585,hsa2908,4,0.38066,0.333333,0.487179,3,0.255871730690478,0.23366133237194,0.276680673701978
D00327,hsa367,7,0.329374,0.06,0.666667,1,0.119238019840392,0.119238019840392,0.119238019840392
D00585,hsa367,7,0.334870571428571,0.159091,0.513514,3,0.231223032130341,0.205292729861636,0.254715034157448
D00585,hsa4306,2,0.3977275,0.386364,0.409091,3,0.237654867762027,0.205292729861636,0.276680673701978
D00066,hsa5241,9,0.565041888888889,0.380952,0.84,1,0.129516860347121,0.129516860347121,0.129516860347121
D00585,hsa5241,9,0.436149888888889,0.375,0.5,3,0.24765980662581,0.230991199722466,0.257273185997517
D00950,hsa5241,9,0.620381555555556,0.288889,1,1,0.129516860347121,0.129516860347121,0.129516860347121
D00954,hsa5241,9,0.620381555555556,0.288889,1,1,0.129516860347121,0.129516860347121,0.129516860347121
D01294,hsa5241,9,0.502881111111111,0.3125,0.612903,1,0.129516860347121,0.129516860347121,0.129516860347121
D02367,hsa5241,9,0.507078,0.234043,0.769231,1,0.129516860347121,0.129516860347121,0.129516860347121
D00094,hsa5914,3,0.505923333333333,0.146341,1,8,0.279342895798447,0.0250328076662088,0.728869042945886
D00316,hsa5914,3,0.339286,0.275,0.371429,5,0.384146930388508,0.053073234179177,0.728869042945886
D01132,hsa5914,3,0.189227333333333,0.146341,0.275,6,0.34735616225548,0.053073234179177,0.728869042945886
D00094,hsa5915,2,0.258885,0.146341,0.371429,8,0.283780942749663,0.0237477344356753,0.728869042945886
D00316,hsa5915,2,0.3232145,0.275,0.371429,5,0.387042693941503,0.0422928995299998,0.728869042945886
D01132,hsa5915,2,0.2106705,0.146341,0.275,6,0.352349224349752,0.0422928995299998,0.728869042945886
D00094,hsa5916,2,0.258885,0.146341,0.371429,8,0.281747251800583,0.0249774256325095,0.718698414016836
D00316,hsa5916,2,0.3232145,0.275,0.371429,5,0.384408619093507,0.0476602345097285,0.718698414016836
D01132,hsa5916,2,0.2106705,0.146341,0.275,6,0.349791956472091,0.0476602345097285,0.718698414016836
D00094,hsa6096,1,0.146341,0.146341,0.146341,8,0.158469733856747,0.020343388183645,0.458057156550255
D01132,hsa6096,1,0.146341,0.146341,0.146341,6,0.131559554353346,0.0346374908025839,0.178881876391
D00094,hsa6256,2,0.258885,0.146341,0.371429,8,0.213423314298921,0.0581965392383344,0.622798925969169
D00316,hsa6256,2,0.3232145,0.275,0.371429,5,0.278295634586729,0.0581965392383344,0.622798925969169
D01132,hsa6256,2,0.2106705,0.146341,0.275,6,0.252736629993834,0.0581965392383344,0.622798925969169
D00094,hsa6257,2,0.258885,0.146341,0.371429,8,0.198956248387728,0.0443200511579712,0.622798925969169
D00316,hsa6257,2,0.3232145,0.275,0.371429,5,0.261639222721991,0.0443200511579712,0.622798925969169
D01132,hsa6257,2,0.2106705,0.146341,0.275,6,0.236496916758623,0.0443200511579712,0.622798925969169
D00094,hsa6258,2,0.258885,0.146341,0.371429,8,0.0440514050332125,0.0346374908025839,0.0581965392383344
D00316,hsa6258,2,0.3232145,0.275,0.371429,5,0.0491085917230422,0.0422928995299998,0.0581965392383344
D01132,hsa6258,2,0.2106705,0.146341,0.275,6,0.0466967415696325,0.0346374908025839,0.0581965392383344
