drug,targets,S1,S2,S3,S4,S5,S6,S7,S8
D00049,hsa10161,1,0.15,0.15,0.15,1,0.196207175478129,0.196207175478129,0.196207175478129
D00059,hsa10161,1,0.12,0.12,0.12,2,0.0923897102717627,0.0884155115954717,0.0963639089480537
D00079,hsa10161,1,0.054054,0.054054,0.054054,1,0.0515331604553858,0.0515331604553858,0.0515331604553858
D00094,hsa10161,1,0.090909,0.090909,0.090909,1,0.0197511863785993,0.0197511863785993,0.0197511863785993
D00095,hsa10161,1,0.173913,0.173913,0.173913,3,0.0871620201692047,0.0751009470459799,0.101213429684293
D00106,hsa10161,1,0.026316,0.026316,0.026316,1,0.215611483622976,0.215611483622976,0.215611483622976
D00110,hsa10161,1,0.125,0.125,0.125,3,0.130383284944933,0.0836486581373446,0.2111372877494
D00113,hsa10161,1,0.09375,0.09375,0.09375,5,0.0714397413214147,0.0651250231418305,0.0763493782537088
D00136,hsa10161,1,0.111111,0.111111,0.111111,4,0.0755735221801997,0.0630705310282227,0.0884155115954717
D00139,hsa10161,1,0.25,0.25,0.25,1,0.220932125548993,0.220932125548993,0.220932125548993
D00180,hsa10161,1,0.054054,0.054054,0.054054,3,0.0360735482138703,0.0275494809907598,0.0515331604553858
D00225,hsa10161,1,0.2,0.2,0.2,1,0.220932125548993,0.220932125548993,0.220932125548993
D00227,hsa10161,1,0.419355,0.419355,0.419355,3,0.0784696072739797,0.0729146728660378,0.0818039082140734
D00232,hsa10161,1,0.09375,0.09375,0.09375,3,0.0703497513029475,0.0651250231418305,0.0735734868098495
D00234,hsa10161,1,0.142857,0.142857,0.142857,3,0.0806713676394859,0.07447299209029,0.0840458916982701
D00235,hsa10161,1,0.137931,0.137931,0.137931,2,0.0881571883651364,0.0751009470459799,0.101213429684293
D00241,hsa10161,1,0.076923,0.076923,0.076923,1,0.0169027536152476,0.0169027536152476,0.0169027536152476
D00255,hsa10161,1,0.157895,0.157895,0.157895,8,0.0770262444007552,0.0620960021164102,0.101213429684293
D00270,hsa10161,1,0.25,0.25,0.25,7,0.0813260526510762,0.0630705310282227,0.0963639089480537
D00274,hsa10161,1,0.15,0.15,0.15,3,0.0766138251110762,0.0723507439571625,0.0839172445662167
D00281,hsa10161,1,0.166667,0.166667,0.166667,6,0.0712338179108205,0.0620960021164102,0.0851716837773411
D00283,hsa10161,1,0.15625,0.15625,0.15625,25,0.0777265448288538,0.0510498887678421,0.0963639089480537
D00295,hsa10161,1,0.192308,0.192308,0.192308,1,0.112276086326549,0.112276086326549,0.112276086326549
D00300,hsa10161,1,0.178571,0.178571,0.178571,3,0.0806713676394859,0.07447299209029,0.0840458916982701
D00301,hsa10161,1,0.086957,0.086957,0.086957,1,0.204745519475492,0.204745519475492,0.204745519475492
D00306,hsa10161,1,0.233333,0.233333,0.233333,1,0.0572382311867408,0.0572382311867408,0.0572382311867408
D00318,hsa10161,1,0.0625,0.0625,0.0625,3,0.0932723990515722,0.0834952191298976,0.112276086326549
D00332,hsa10161,1,0,0,0,2,0.0744816480869167,0.06715938795976,0.0818039082140734
D00336,hsa10161,1,0.119048,0.119048,0.119048,1,0.0569551272630966,0.0569551272630966,0.0569551272630966
D00356,hsa10161,1,0.097561,0.097561,0.097561,1,0.0737960694929714,0.0737960694929714,0.0737960694929714
D00364,hsa10161,1,0.171429,0.171429,0.171429,1,0.07447299209029,0.07447299209029,0.07447299209029
D00371,hsa10161,1,0.8,0.8,0.8,1,0.0794769584335616,0.0794769584335616,0.0794769584335616
D00380,hsa10161,1,0.142857,0.142857,0.142857,1,0.220932125548993,0.220932125548993,0.220932125548993
D00394,hsa10161,1,0.241379,0.241379,0.241379,1,0.220932125548993,0.220932125548993,0.220932125548993
D00397,hsa10161,1,0.166667,0.166667,0.166667,3,0.0740912030069069,0.0723507439571625,0.0763493782537088
D00400,hsa10161,1,0.210526,0.210526,0.210526,1,0.249561759959821,0.249561759959821,0.249561759959821
D00410,hsa10161,1,0.24,0.24,0.24,1,0.220932125548993,0.220932125548993,0.220932125548993
D00411,hsa10161,1,0.170213,0.170213,0.170213,4,0.196016619764594,0.0965821173029968,0.282628289766019
D00415,hsa10161,1,0.206897,0.206897,0.206897,2,0.0838941107132478,0.0805251802695563,0.0872630411569393
D00419,hsa10161,1,0.108108,0.108108,0.108108,2,0.0413878055335044,0.0275494809907598,0.0552261300762489
D00422,hsa10161,1,0.166667,0.166667,0.166667,1,0.112276086326549,0.112276086326549,0.112276086326549
D00426,hsa10161,1,0.189189,0.189189,0.189189,4,0.0789131476917608,0.0620960021164102,0.0869484748078567
D00432,hsa10161,1,0.241379,0.241379,0.241379,3,0.0857586400862908,0.0751009470459799,0.101213429684293
D00437,hsa10161,1,0.181818,0.181818,0.181818,9,0.0930157867505594,0.0620960021164102,0.220932125548993
D00440,hsa10161,1,0.166667,0.166667,0.166667,1,0.112276086326549,0.112276086326549,0.112276086326549
D00442,hsa10161,1,0.089744,0.089744,0.089744,2,0.203528426487061,0.193785189264823,0.2132716637093
D00443,hsa10161,1,0.102564,0.102564,0.102564,1,0.249561759959821,0.249561759959821,0.249561759959821
D00451,hsa10161,1,0.259259,0.259259,0.259259,11,0.0791040712532744,0.0510498887678421,0.0887684691329894
D00454,hsa10161,1,0.241379,0.241379,0.241379,22,0.0760248734534053,0.0510498887678421,0.101213429684293
D00465,hsa10161,1,0.111111,0.111111,0.111111,2,0.072962115383506,0.0723507439571625,0.0735734868098495
D00480,hsa10161,1,0.25,0.25,0.25,1,0.07447299209029,0.07447299209029,0.07447299209029
D00483,hsa10161,1,0.214286,0.214286,0.214286,3,0.0857586400862908,0.0751009470459799,0.101213429684293
D00493,hsa10161,1,0.181818,0.181818,0.181818,6,0.0855875736099734,0.07447299209029,0.0963639089480537
D00494,hsa10161,1,0.259259,0.259259,0.259259,11,0.0781589527005637,0.0651250231418305,0.0884155115954717
D00498,hsa10161,1,0.206897,0.206897,0.206897,1,0.204745519475492,0.204745519475492,0.204745519475492
D00499,hsa10161,1,0.2,0.2,0.2,1,0.187373548326394,0.187373548326394,0.187373548326394
D00503,hsa10161,1,0.138889,0.138889,0.138889,4,0.0883999406145528,0.0836486581373446,0.0963639089480537
