drug,targets,S1,S2,S3,S4,S5,S6,S7,S8
D00040,hsa190,1,0.190476,0.190476,0.190476,1,0.0179332965382288,0.0179332965382288,0.0179332965382288
D00066,hsa190,1,0.184211,0.184211,0.184211,2,0.0233992457439005,0.0207717584404241,0.0260267330473769
D00067,hsa190,1,0.105263,0.105263,0.105263,1,0.0260267330473769,0.0260267330473769,0.0260267330473769
D00075,hsa190,1,0.162162,0.162162,0.162162,1,0.0192123820228085,0.0192123820228085,0.0192123820228085
D00088,hsa190,1,0.142857,0.142857,0.142857,1,0.0191142136435537,0.0191142136435537,0.0191142136435537
D00105,hsa190,1,0.105263,0.105263,0.105263,2,0.0256131653065086,0.0251995975656403,0.0260267330473769
D00129,hsa190,1,0.238095,0.238095,0.238095,1,0.0371596973450943,0.0371596973450943,0.0371596973450943
D00143,hsa190,1,0.184211,0.184211,0.184211,1,0.0351697092472271,0.0351697092472271,0.0351697092472271
D00163,hsa190,1,0.219512,0.219512,0.219512,1,0.0360788430599661,0.0360788430599661,0.0360788430599661
D00182,hsa190,1,0.128205,0.128205,0.128205,1,0.0207717584404241,0.0207717584404241,0.0207717584404241
D00187,hsa190,1,0.342105,0.342105,0.342105,1,0.0371596973450943,0.0371596973450943,0.0371596973450943
D00188,hsa190,1,0.25,0.25,0.25,1,0.0371596973450943,0.0371596973450943,0.0371596973450943
D00211,hsa190,1,0.125,0.125,0.125,1,0.0351697092472271,0.0351697092472271,0.0351697092472271
D00246,hsa190,1,0.152174,0.152174,0.152174,1,0.0191142136435537,0.0191142136435537,0.0191142136435537
D00279,hsa190,1,0.085714,0.085714,0.085714,1,0.0273345843851285,0.0273345843851285,0.0273345843851285
D00299,hsa190,1,0.342105,0.342105,0.342105,1,0.0371596973450943,0.0371596973450943,0.0371596973450943
D00312,hsa190,1,0.093023,0.093023,0.093023,1,0.0260267330473769,0.0260267330473769,0.0260267330473769
D00316,hsa190,1,0.371429,0.371429,0.371429,6,0.0407561703525092,0.0237477344356753,0.0709573569384697
D00327,hsa190,1,0.179487,0.179487,0.179487,2,0.0226195575350927,0.0192123820228085,0.0260267330473769
D00348,hsa190,1,1,1,1,1,0.0250328076662088,0.0250328076662088,0.0250328076662088
D00443,hsa190,1,0.159091,0.159091,0.159091,1,0.0203468746364678,0.0203468746364678,0.0203468746364678
D00462,hsa190,1,0.157895,0.157895,0.157895,1,0.0192123820228085,0.0192123820228085,0.0192123820228085
D00506,hsa190,1,0.054054,0.054054,0.054054,1,0.0287873801678091,0.0287873801678091,0.0287873801678091
D00554,hsa190,1,0.1,0.1,0.1,1,0.0260267330473769,0.0260267330473769,0.0260267330473769
D00565,hsa190,1,0.093023,0.093023,0.093023,1,0.0273345843851285,0.0273345843851285,0.0273345843851285
D00577,hsa190,1,0.076923,0.076923,0.076923,5,0.0375644067772979,0.0251995975656403,0.0518851146950085
D00585,hsa190,1,0.173913,0.173913,0.173913,4,0.0198613071858135,0.0191142136435537,0.0207717584404241
D00586,hsa190,1,0.051282,0.051282,0.051282,1,0.0192123820228085,0.0192123820228085,0.0192123820228085
D00596,hsa190,1,0.1,0.1,0.1,1,0.0284547955771943,0.0284547955771943,0.0284547955771943
D00627,hsa190,1,0.109091,0.109091,0.109091,1,0.0284547955771943,0.0284547955771943,0.0284547955771943
D00690,hsa190,1,0.14,0.14,0.14,1,0.0207717584404241,0.0207717584404241,0.0207717584404241
D00730,hsa190,1,0.028571,0.028571,0.028571,1,0.0351697092472271,0.0351697092472271,0.0351697092472271
D00898,hsa190,1,0.076923,0.076923,0.076923,1,0.0260267330473769,0.0260267330473769,0.0260267330473769
D00930,hsa190,1,0.333333,0.333333,0.333333,1,0.0371596973450943,0.0371596973450943,0.0371596973450943
D00950,hsa190,1,0.125,0.125,0.125,2,0.0233992457439005,0.0207717584404241,0.0260267330473769
D00951,hsa190,1,0.190476,0.190476,0.190476,1,0.0207717584404241,0.0207717584404241,0.0207717584404241
D00954,hsa190,1,0.125,0.125,0.125,2,0.0233992457439005,0.0207717584404241,0.0260267330473769
D00956,hsa190,1,0.106383,0.106383,0.106383,1,0.0192123820228085,0.0192123820228085,0.0192123820228085
D00961,hsa190,1,0.02,0.02,0.02,1,0.0192123820228085,0.0192123820228085,0.0192123820228085
D00962,hsa190,1,0.103448,0.103448,0.103448,1,0.0260267330473769,0.0260267330473769,0.0260267330473769
D00965,hsa190,1,0.073171,0.073171,0.073171,1,0.0192123820228085,0.0192123820228085,0.0192123820228085
D01115,hsa190,1,0.155556,0.155556,0.155556,1,0.0203468746364678,0.0203468746364678,0.0203468746364678
D01132,hsa190,1,0.146341,0.146341,0.146341,7,0.0378400586141,0.020343388183645,0.0709573569384697
D01161,hsa190,1,0.067797,0.067797,0.067797,2,0.0256131653065086,0.0251995975656403,0.0260267330473769
D01217,hsa190,1,0.184211,0.184211,0.184211,1,0.0207717584404241,0.0207717584404241,0.0207717584404241
D01294,hsa190,1,0.162791,0.162791,0.162791,2,0.0233992457439005,0.0207717584404241,0.0260267330473769
D01387,hsa190,1,0.137255,0.137255,0.137255,1,0.0191142136435537,0.0191142136435537,0.0191142136435537
D01441,hsa190,1,0.084746,0.084746,0.084746,1,0.0179332965382288,0.0179332965382288,0.0179332965382288
D01689,hsa190,1,0.148936,0.148936,0.148936,1,0.0191142136435537,0.0191142136435537,0.0191142136435537
D02217,hsa190,1,0.055556,0.055556,0.055556,2,0.0256131653065086,0.0251995975656403,0.0260267330473769
D02367,hsa190,1,0.125,0.125,0.125,2,0.0233992457439005,0.0207717584404241,0.0260267330473769
D04066,hsa190,1,0.085106,0.085106,0.085106,2,0.0256131653065086,0.0251995975656403,0.0260267330473769
D05341,hsa190,1,0.111111,0.111111,0.111111,1,0.067201228297951,0.067201228297951,0.067201228297951
D00040,hsa2099,16,0.2891595,0.066667,0.545455,1,0.0853387890059742,0.0853387890059742,0.0853387890059742
D00075,hsa2099,16,0.4032874375,0.05,0.833333,1,0.119238019840392,0.119238019840392,0.119238019840392
D00088,hsa2099,16,0.358404125,0.0625,0.724138,1,0.131047708158589,0.131047708158589,0.131047708158589
D00094,hsa2099,16,0.1106744375,0.055556,0.184211,9,0.113977200053977,0.0260267330473769,0.182938949807791
D00129,hsa2099,16,0.2395359375,0.086957,0.358974,1,0.11238399175576,0.11238399175576,0.11238399175576
D00143,hsa2099,16,0.3312489375,0.048387,0.769231,1,0.095273230694617,0.095273230694617,0.095273230694617
D00163,hsa2099,16,0.2778319375,0.090909,0.457143,1,0.117583866840084,0.117583866840084,0.117583866840084
D00182,hsa2099,16,0.4174335,0.032258,0.875,1,0.129516860347121,0.129516860347121,0.129516860347121
D00187,hsa2099,16,0.2237666875,0.044118,0.368421,1,0.11238399175576,0.11238399175576,0.11238399175576
D00188,hsa2099,16,0.2409800625,0.066667,0.378378,1,0.11238399175576,0.11238399175576,0.11238399175576
D00211,hsa2099,16,0.1561451875,0.074468,0.220588,1,0.095273230694617,0.095273230694617,0.095273230694617
D00246,hsa2099,16,0.2618694375,0.085106,0.486486,1,0.131047708158589,0.131047708158589,0.131047708158589
D00279,hsa2099,16,0.16760125,0.054054,0.333333,1,0.0928416059632321,0.0928416059632321,0.0928416059632321
D00299,hsa2099,16,0.222609125,0.044118,0.358974,1,0.11238399175576,0.11238399175576,0.11238399175576
D00316,hsa2099,16,0.1070803125,0.042553,0.179487,6,0.137999969503405,0.0386844362636134,0.182938949807791
D00348,hsa2099,16,0.1106744375,0.055556,0.184211,1,0.140516447774696,0.140516447774696,0.140516447774696
D00443,hsa2099,16,0.287718875,0.028986,0.677419,1,0.120272044897541,0.120272044897541,0.120272044897541
D00462,hsa2099,16,0.3169325,0.04918,0.5,1,0.119238019840392,0.119238019840392,0.119238019840392
D00506,hsa2099,16,0.143727375,0.046512,0.233333,1,0.127434733513351,0.127434733513351,0.127434733513351
D00565,hsa2099,16,0.1749116875,0.021277,0.451613,1,0.0928416059632321,0.0928416059632321,0.0928416059632321
D00585,hsa2099,16,0.3552338125,0.138462,0.513514,4,0.125018658310911,0.119238019840392,0.131047708158589
D00586,hsa2099,16,0.1489183125,0.02439,0.230769,1,0.119238019840392,0.119238019840392,0.119238019840392
D00596,hsa2099,16,0.1643655,0.033898,0.388889,1,0.109252441521706,0.109252441521706,0.109252441521706
D00627,hsa2099,16,0.1304916875,0.033333,0.298246,1,0.109252441521706,0.109252441521706,0.109252441521706
D00690,hsa2099,16,0.26535925,0.122449,0.475,1,0.129516860347121,0.129516860347121,0.129516860347121
D00730,hsa2099,16,0.16141725,0.027027,0.36,1,0.095273230694617,0.095273230694617,0.095273230694617
D00930,hsa2099,16,0.227694125,0.058824,0.358974,1,0.11238399175576,0.11238399175576,0.11238399175576
D00951,hsa2099,16,0.3069148125,0.029412,0.7,1,0.129516860347121,0.129516860347121,0.129516860347121
D00956,hsa2099,16,0.3613900625,0.125,0.514286,1,0.119238019840392,0.119238019840392,0.119238019840392
D00961,hsa2099,16,0.1804700625,0.036364,0.361111,1,0.119238019840392,0.119238019840392,0.119238019840392
D00965,hsa2099,16,0.1650395625,0.022727,0.3125,1,0.119238019840392,0.119238019840392,0.119238019840392
D01115,hsa2099,16,0.2532484375,0.028571,0.542857,1,0.120272044897541,0.120272044897541,0.120272044897541
D01132,hsa2099,16,0.22061125,0.113636,0.40625,7,0.13124436825972,0.0386844362636134,0.182938949807791
D01217,hsa2099,16,0.3177825625,0.031746,0.84,1,0.129516860347121,0.129516860347121,0.129516860347121
D01387,hsa2099,16,0.238150875,0.056604,0.463415,1,0.131047708158589,0.131047708158589,0.131047708158589
D01441,hsa2099,16,0.1924803125,0.083333,0.45283,1,0.0853387890059742,0.0853387890059742,0.0853387890059742
D01689,hsa2099,16,0.2796518125,0.061224,0.513514,1,0.131047708158589,0.131047708158589,0.131047708158589
D05341,hsa2099,16,0.0676610625,0.022222,0.282609,1,0.140771091937798,0.140771091937798,0.140771091937798
D00040,hsa2100,5,0.213889,0.066667,0.333333,1,0.0886474805186148,0.0886474805186148,0.0886474805186148
D00066,hsa2100,5,0.2117618,0.04878,0.387097,2,0.258244003154265,0.131196485470263,0.385291520838268
D00067,hsa2100,5,0.4395834,0.212121,0.818182,1,0.385291520838268,0.385291520838268,0.385291520838268
D00075,hsa2100,5,0.2465246,0.078947,0.464286,1,0.119956966479618,0.119956966479618,0.119956966479618
D00088,hsa2100,5,0.2192748,0.095238,0.352941,1,0.144458467816554,0.144458467816554,0.144458467816554
D00094,hsa2100,5,0.078129,0.055556,0.105263,9,0.111850692467885,0.0251995975656403,0.16852812709186
D00129,hsa2100,5,0.206507,0.086957,0.282051,1,0.102551371872857,0.102551371872857,0.102551371872857
D00143,hsa2100,5,0.2196828,0.075,0.387097,1,0.0887873905929847,0.0887873905929847,0.0887873905929847
D00163,hsa2100,5,0.228586,0.090909,0.333333,1,0.12692056768406,0.12692056768406,0.12692056768406
D00182,hsa2100,5,0.2130768,0.05,0.4,1,0.131196485470263,0.131196485470263,0.131196485470263
